Airline Id,Name,Alias,IATA,ICAO
1,Private flight,\N,-,N/A
2,135 Airways,\N,,GNL
3,1Time Airline,\N,1T,RNX
4,2 Sqn No 1 Elementary Flying Training School,\N,,WYT
5,213 Flight Unit,\N,,TFU
6,223 Flight Unit State Airline,\N,,CHD
7,224th Flight Unit,\N,,TTF
8,247 Jet Ltd,\N,,TWF
9,3D Aviation,\N,,SEC
10,40-Mile Air,\N,Q5,MLA
11,4D Air,\N,,QRT
12,611897 Alberta Limited,\N,,THD
13,Ansett Australia,\N,AN,AAA
14,Abacus International,\N,1B,
15,Abelag Aviation,\N,W9,AAB
16,Army Air Corps,\N,,AAC
17,Aero Aviation Centre Ltd.,\N,,AAD
18,Aero Servicios Ejecutivos Internacionales,\N,,SII
19,Aero Biniza,\N,,BZS
20,Aero Albatros,\N,,ABM
21,Aigle Azur,\N,ZI,AAF
22,Aloha Airlines,\N,AQ,AAH
23,Alaska Island Air,\N,,AAK
24,American Airlines,\N,AA,AAL
25,Aviation Management Corporation,\N,,AAM
26,Atlantis Airlines (USA),\N,,AAO
27,Aerovista Airlines,\N,,AAP
28,Asiana Airlines,\N,OZ,AAR
29,Askari Aviation,\N,4K,AAS
30,Australia Asia Airlines,\N,,AAU
31,Astro Air International,\N,,AAV
32,Afriqiyah Airways,\N,8U,AAW
33,Afrinat International Airlines,\N,Q9,AFU
34,Afric'air Express,\N,,AAX
35,Allegiant Air,\N,G4,AAY
36,Angus Aviation,\N,,AAZ
37,Artem-Avia,\N,,ABA
38,African Business and Transportations,\N,,ABB
39,Aban Air,\N,K5,ABE
40,Aerial Oy,\N,,ABF
41,Abakan-Avia,\N,,ABG
42,ABSA - Aerolinhas Brasileiras,\N,M3,TUS
43,Abaet,\N,,ABJ
44,Alberta Citylink,\N,,ABK
45,APSA Colombia,\N,,ABO
46,Aerovias Bueno,\N,,ABU
47,Aerocenter,\N,,ACR
48,Antrak Air,\N,4,ABV
49,Airborne Express,\N,GB,ABX
50,ABX Air,\N,GB,ABX
51,ATA Brasil,\N,,ABZ
52,Avcard Services,\N,,ACC
53,Academy Airlines,\N,,ACD
54,Aero Comondu,\N,,ACO
55,Astral Aviation,\N,8V,ACP
56,Air Cess,\N,,ACS
57,Air Aurora,\N,,AAI
58,Air Cargo Transportation System,\N,,ACU
59,Air Charter Service,\N,,ACV
60,Aero Asia International,\N,E4,RSO
61,Air Charters,\N,,ACX
62,Air Togo,\N,YT,TGA
63,Air Somalia,\N,,RSM
64,Atlas Cargo Lines,\N,,ACY
65,Airservices Australia,\N,,ADA
66,Advance Leasing Company,\N,4G,
67,Aztec Worldwide Airlines,\N,7A,
68,Air Tindi,\N,8T,
69,Antonov Airlines,\N,,ADB
70,Air Atlantic Dominicana,\N,,ADC
71,Advanced Air Co.,\N,,ADD
72,Ada Air,\N,ZY,ADE
73,Aerea Flying Training Organization,\N,,ADG
74,Audeli Air,\N,,ADI
75,Abicar,\N,,ADJ
76,ADC Airlines,\N,Z7,ADK
77,Aero Dynamics,\N,,ADL
78,Aerolineas Dominicanas,\N,,ADM
79,Aerodienst GmbH,\N,,ADN
80,Aerodiplomatic,\N,,ADP
81,Aerodyne,\N,,ADY
82,Avion Taxi,\N,,ADQ
83,Adria Airways,\N,JP,ADR
84,Aviones de Sonora,\N,,ADS
85,Air Dorval,\N,,ADT
86,Airdeal Oy,\N,,ADU
87,Advance Air Charters,\N,,ADV
88,Air Andaman,\N,,ADW
89,Anderson Aviation,\N,,ADX
90,Air Europa,\N,UX,AEA
91,Air Southwest Ltd.,\N,,ASW
92,Air Special,\N,,ASX
93,Aero Benin,\N,EM,AEB
94,Aerocesar,\N,,AEC
95,Aerotrans Airlines,\N,,AED
96,Aegean Airlines,\N,A3,AEE
97,Aerofumigaciones Sam,\N,,AEG
98,Aeroexpreso Interamericano,\N,,AEI
99,Air Express,\N,,AEJ
100,Aerocon,\N,,AEK