Airline Id,Name,ICAO
1,Private flight,N/A
2,135 Airways,GNL
3,1Time Airline,RNX
4,2 Sqn No 1 Elementary Flying Training School,WYT
5,213 Flight Unit,TFU
6,223 Flight Unit State Airline,CHD
7,224th Flight Unit,TTF
8,247 Jet Ltd,TWF
9,3D Aviation,SEC
10,40-Mile Air,MLA
11,4D Air,QRT
12,611897 Alberta Limited,THD
13,Ansett Australia,AAA
14,Abacus International,
15,Abelag Aviation,AAB
16,Army Air Corps,AAC
17,Aero Aviation Centre Ltd.,AAD
18,Aero Servicios Ejecutivos Internacionales,SII
19,Aero Biniza,BZS
20,Aero Albatros,ABM
21,Aigle Azur,AAF
22,Aloha Airlines,AAH
23,Alaska Island Air,AAK
24,American Airlines,AAL
25,Aviation Management Corporation,AAM
26,Atlantis Airlines (USA),AAO
27,Aerovista Airlines,AAP
28,Asiana Airlines,AAR
29,Askari Aviation,AAS
30,Australia Asia Airlines,AAU
31,Astro Air International,AAV
32,Afriqiyah Airways,AAW
33,Afrinat International Airlines,AFU
34,Afric'air Express,AAX
35,Allegiant Air,AAY
36,Angus Aviation,AAZ
37,Artem-Avia,ABA
38,African Business and Transportations,ABB
39,Aban Air,ABE
40,Aerial Oy,ABF
41,Abakan-Avia,ABG
42,ABSA - Aerolinhas Brasileiras,TUS
43,Abaet,ABJ
44,Alberta Citylink,ABK
45,APSA Colombia,ABO
46,Aerovias Bueno,ABU
47,Aerocenter,ACR
48,Antrak Air,ABV
49,Airborne Express,ABX
50,ABX Air,ABX
51,ATA Brasil,ABZ
52,Avcard Services,ACC
53,Academy Airlines,ACD
54,Aero Comondu,ACO
55,Astral Aviation,ACP
56,Air Cess,ACS
57,Air Aurora,AAI
58,Air Cargo Transportation System,ACU
59,Air Charter Service,ACV
60,Aero Asia International,RSO
61,Air Charters,ACX
62,Air Togo,TGA
63,Air Somalia,RSM
64,Atlas Cargo Lines,ACY
65,Airservices Australia,ADA
66,Advance Leasing Company,
67,Aztec Worldwide Airlines,
68,Air Tindi,
69,Antonov Airlines,ADB
70,Air Atlantic Dominicana,ADC
71,Advanced Air Co.,ADD
72,Ada Air,ADE
73,Aerea Flying Training Organization,ADG
74,Audeli Air,ADI
75,Abicar,ADJ
76,ADC Airlines,ADK
77,Aero Dynamics,ADL
78,Aerolineas Dominicanas,ADM
79,Aerodienst GmbH,ADN
80,Aerodiplomatic,ADP
81,Aerodyne,ADY
82,Avion Taxi,ADQ
83,Adria Airways,ADR
84,Aviones de Sonora,ADS
85,Air Dorval,ADT
86,Airdeal Oy,ADU
87,Advance Air Charters,ADV
88,Air Andaman,ADW
89,Anderson Aviation,ADX
90,Air Europa,AEA
91,Air Southwest Ltd.,ASW
92,Air Special,ASX
93,Aero Benin,AEB
94,Aerocesar,AEC
95,Aerotrans Airlines,AED
96,Aegean Airlines,AEE
97,Aerofumigaciones Sam,AEG
98,Aeroexpreso Interamericano,AEI
99,Air Express,AEJ
100,Aerocon,AEK